movie_title,title_year
Suicide Squad,2016.0
Evan Almighty,2007.0
Edge of Tomorrow,2014.0
Waterworld,1995.0
G.I. Joe: The Rise of Cobra,2009.0
Inside Out,2015.0
The Jungle Book,2016.0
Iron Man 2,2010.0
Snow White and the Huntsman,2012.0
Maleficent,2014.0
Dawn of the Planet of the Apes,2014.0
The Lovers,2015.0
47 Ronin,2013.0
Captain America: The Winter Soldier,2014.0
Shrek Forever After,2010.0
Tomorrowland,2015.0
Big Hero 6,2014.0
Wreck-It Ralph,2012.0
The Polar Express,2004.0
Independence Day: Resurgence,2016.0
How to Train Your Dragon,2010.0
Terminator 3: Rise of the Machines,2003.0
Guardians of the Galaxy,2014.0
Interstellar,2014.0
Inception,2010.0
Godzilla Resurgence,2016.0
The Hobbit: An Unexpected Journey,2012.0
The Fast and the Furious,2001.0
The Curious Case of Benjamin Button,2008.0
X-Men: First Class,2011.0
The Hunger Games: Mockingjay - Part 2,2015.0
The Sorcerer's Apprentice,2010.0
Poseidon,2006.0
Alice Through the Looking Glass,2016.0
Shrek the Third,2007.0
Warcraft,2016.0
Terminator Genisys,2015.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010.0
Pearl Harbor,2001.0
Transformers,2007.0
Alexander,2004.0
Harry Potter and the Order of the Phoenix,2007.0
Harry Potter and the Goblet of Fire,2005.0
Hancock,2008.0
I Am Legend,2007.0
Charlie and the Chocolate Factory,2005.0
Ratatouille,2007.0
Batman Begins,2005.0
Madagascar: Escape 2 Africa,2008.0
Night at the Museum: Battle of the Smithsonian,2009.0
X-Men Origins: Wolverine,2009.0
The Matrix Revolutions,2003.0
Frozen,2013.0
The Matrix Reloaded,2003.0
Thor: The Dark World,2013.0
Mad Max: Fury Road,2015.0
Angels & Demons,2009.0
Thor,2011.0
Bolt,2008.0
G-Force,2009.0
Wrath of the Titans,2012.0
Dark Shadows,2012.0
Mission: Impossible - Rogue Nation,2015.0
The Wolfman,2010.0
The Legend of Tarzan,2016.0
Bee Movie,2007.0
Kung Fu Panda 2,2011.0
The Last Airbender,2010.0
Mission: Impossible III,2006.0
White House Down,2013.0
Mars Needs Moms,2011.0
Flushed Away,2006.0
Pan,2015.0
Mr. Peabody & Sherman,2014.0
Troy,2004.0
Madagascar 3: Europe's Most Wanted,2012.0
Die Another Day,2002.0
Ghostbusters,2016.0
Armageddon,1998.0
Men in Black II,2002.0
Beowulf,2007.0
Kung Fu Panda 3,2016.0
Mission: Impossible - Ghost Protocol,2011.0
Rise of the Guardians,2012.0
Fun with Dick and Jane,2005.0
The Last Samurai,2003.0
Exodus: Gods and Kings,2014.0
Star Trek,2009.0
Spider-Man,2002.0
How to Train Your Dragon 2,2014.0
Gods of Egypt,2016.0
Stealth,2005.0
Watchmen,2009.0
Lethal Weapon 4,1998.0
Hulk,2003.0
G.I. Joe: Retaliation,2013.0
Sahara,2005.0
Final Fantasy: The Spirits Within,2001.0
Captain America: The First Avenger,2011.0
The World Is Not Enough,1999.0
Master and Commander: The Far Side of the World,2003.0
The Twilight Saga: Breaking Dawn - Part 2,2012.0
Happy Feet 2,2011.0
The Incredible Hulk,2008.0
Miami Vice            ,
The BFG,2016.0
The Revenant,2015.0
Turbo,2013.0
Rango,2011.0
Penguins of Madagascar,2014.0
The Bourne Ultimatum,2007.0
Kung Fu Panda,2008.0
Ant-Man,2015.0
The Hunger Games: Catching Fire,2013.0
The Twilight Saga: Breaking Dawn - Part 2,2012.0
Home,2015.0
War of the Worlds,2005.0
Bad Boys II,2003.0
Puss in Boots,2011.0
Salt,2010.0
Noah,2014.0
The Adventures of Tintin,2011.0
Harry Potter and the Prisoner of Azkaban,2004.0
Australia,2008.0
After Earth,2013.0
Dinosaur,2000.0
Harry Potter and the Deathly Hallows: Part II,2011.0
Night at the Museum: Secret of the Tomb,2014.0
Megamind,2010.0
Harry Potter and the Sorcerer's Stone,2001.0
R.I.P.D.,2013.0
Godzilla Resurgence,2016.0
Pirates of the Caribbean: The Curse of the Black Pearl,2003.0
Harry Potter and the Deathly Hallows: Part I,2010.0
The Hunger Games: Mockingjay - Part 1,2014.0
The Da Vinci Code,2006.0
Rio 2,2014.0
X-Men 2,2003.0
Fast Five,2011.0
Sherlock Holmes: A Game of Shadows,2011.0
Clash of the Titans,2010.0
Total Recall,1990.0
The 13th Warrior,1999.0
The Bourne Legacy,2012.0
Batman & Robin,1997.0
How the Grinch Stole Christmas,2000.0
The Day After Tomorrow,2004.0
Mission: Impossible II,2000.0
The Perfect Storm,2000.0
Fantastic 4: Rise of the Silver Surfer,2007.0
Life of Pi,2012.0
Ghost Rider,2007.0
Jason Bourne,2016.0
Charlie's Angels: Full Throttle,2003.0
Prometheus,2012.0
Stuart Little 2,2002.0
Elysium,2013.0
The Chronicles of Riddick,2004.0
RoboCop,2014.0
Speed Racer,2008.0
How Do You Know,2010.0
Knight and Day,2010.0
Oblivion,2013.0
Star Wars: Episode III - Revenge of the Sith,2005.0
Star Wars: Episode II - Attack of the Clones,2002.0
"Monsters, Inc.",2001.0
The Wolverine,2013.0
Star Wars: Episode I - The Phantom Menace,1999.0
The Croods,2013.0
Asterix at the Olympic Games,2008.0
Windtalkers,2002.0
The Huntsman: Winter's War,2016.0
Teenage Mutant Ninja Turtles,2014.0
Gravity,2013.0
Dante's Peak,1997.0
Teenage Mutant Ninja Turtles: Out of the Shadows,2016.0
Fantastic Four,2015.0
Night at the Museum,2006.0
San Andreas,2015.0
Tomorrow Never Dies,1997.0
The Patriot,2000.0
Ocean's Twelve,2004.0
Mr. & Mrs. Smith,2005.0
Insurgent,2015.0
The Aviator,2004.0
Gulliver's Travels,2010.0
The Green Hornet,2011.0
The A-Team            ,
300: Rise of an Empire,2014.0
The Smurfs,2011.0
Home on the Range,2004.0
Allegiant,2016.0
Real Steel,2011.0
The Smurfs 2,2013.0
Speed 2: Cruise Control,1997.0
Ender's Game,2013.0
Live Free or Die Hard,2007.0
The Lord of the Rings: The Fellowship of the Ring,2001.0
Around the World in 80 Days,2004.0
Ali,2001.0
The Cat in the Hat,2003.0
"I, Robot",2004.0
Kingdom of Heaven,2005.0
Stuart Little,1999.0
The Princess and the Frog,2009.0
The Martian,2015.0
"10,000 B.C.            ",
The Island,2005.0
Town & Country,2001.0
Gone in Sixty Seconds,2000.0
Gladiator,2000.0
Minority Report,2002.0
Harry Potter and the Chamber of Secrets,2002.0
Casino Royale,2006.0
Planet of the Apes,2001.0
Terminator 2: Judgment Day,1991.0
Public Enemies,2009.0
American Gangster,2007.0
True Lies,1994.0
The Taking of Pelham 1 2 3,2009.0
Little Fockers,2010.0
The Other Guys,2010.0
Eraser,1996.0
Django Unchained,2012.0
The Hunchback of Notre Dame,1996.0
The Emperor's New Groove,2000.0
The Expendables 2,2012.0
National Treasure,2004.0
Eragon,2006.0
Where the Wild Things Are,2009.0
Pan,2015.0
Epic,2013.0
The Tourist,2010.0
End of Days,1999.0
Blood Diamond,2006.0
The Wolf of Wall Street,2013.0
Batman Forever,1995.0
Starship Troopers,1997.0
Cloud Atlas,2012.0
Legend of the Guardians: The Owls of Ga'Hoole,2010.0
Catwoman,2004.0
Hercules,2014.0
Treasure Planet,2002.0
Land of the Lost,2009.0
The Expendables 3,2014.0
Point Break,2015.0
Son of the Mask,2005.0
In the Heart of the Sea,2015.0
The Adventures of Pluto Nash,2002.0
Green Zone,2010.0
The Peanuts Movie,2015.0
The Spanish Prisoner,1997.0
The Mummy Returns,2001.0
Gangs of New York,2002.0
The Flowers of War,2011.0
Surf's Up,2007.0
The Stepford Wives,2004.0
Black Hawk Down,2001.0
The Campaign,2012.0
The Fifth Element,1997.0
Sex and the City 2,2010.0
The Road to El Dorado,2000.0
Ice Age: Continental Drift,2012.0
Cinderella,2015.0
The Lovely Bones,2009.0
Finding Nemo,2003.0
The Lord of the Rings: The Return of the King,2003.0
The Lord of the Rings: The Two Towers,2002.0
Seventh Son,2014.0
Lara Croft: Tomb Raider,2001.0
Transcendence,2014.0
Jurassic Park III,2001.0
Rise of the Planet of the Apes,2011.0
The Spiderwick Chronicles,2008.0
A Good Day to Die Hard,2013.0
The Alamo,2004.0
The Incredibles,2004.0
Cutthroat Island,1995.0
Percy Jackson & the Olympians: The Lightning Thief,2010.0
Men in Black,1997.0
Toy Story 2,1999.0
Unstoppable,2010.0
Rush Hour 2,2001.0
What Lies Beneath,2000.0
Cloudy with a Chance of Meatballs,2009.0
Ice Age: Dawn of the Dinosaurs,2009.0
The Secret Life of Walter Mitty,2013.0
Charlie's Angels,2000.0
The Departed,2006.0
Mulan,1998.0
Tropic Thunder,2008.0
The Girl with the Dragon Tattoo,2011.0
Die Hard with a Vengeance,1995.0
Sherlock Holmes,2009.0
Ben-Hur,2016.0
Atlantis: The Lost Empire,2001.0
Alvin and the Chipmunks: The Road Chip,2015.0
Valkyrie,2008.0
You Don't Mess with the Zohan,2008.0
Pixels,2015.0
A.I. Artificial Intelligence,2001.0
The Haunted Mansion,2003.0
Contact,1997.0
Hollow Man,2000.0
The Interpreter,2005.0
Percy Jackson: Sea of Monsters,2013.0
Lara Croft Tomb Raider: The Cradle of Life,2003.0
Now You See Me 2,2016.0
The Saint,1997.0
Spy Game,2001.0
Mission to Mars,2000.0
Rio,2011.0
Bicentennial Man,1999.0
Volcano,1997.0
The Devil's Own,1997.0
K-19: The Widowmaker,2002.0
Fantastic Four,2015.0
Conan the Barbarian,1982.0
Cinderella Man,2005.0
The Nutcracker in 3D,2010.0
Seabiscuit,2003.0
Twister,1996.0
The Fast and the Furious,2001.0
Cast Away,2000.0
Happy Feet,2006.0
The Bourne Supremacy,2004.0
Air Force One,1997.0
Ocean's Eleven,2001.0
The Three Musketeers,2011.0
Hotel Transylvania,2012.0
Enchanted,2007.0
Hannibal            ,
Safe House,2012.0
102 Dalmatians,2000.0
Tower Heist,2011.0
The Holiday,2006.0
Enemy of the State,1998.0
It's Complicated,2009.0
Ocean's Thirteen,2007.0
Open Season,2006.0
Divergent,2014.0
Enemy at the Gates,2001.0
The Rundown,2003.0
Last Action Hero,1993.0
Memoirs of a Geisha,2005.0
The Fast and the Furious: Tokyo Drift,2006.0
Arthur Christmas,2011.0
Meet Joe Black,1998.0
Collateral Damage,2002.0
All That Jazz,1979.0
Mirror Mirror,2012.0
Scott Pilgrim vs. the World,2010.0
The Core,2003.0
Nutty Professor II: The Klumps,2000.0
Scooby-Doo,2002.0
Dredd,2012.0
Click,2006.0
Creepshow,1982.0
Cats & Dogs: The Revenge of Kitty Galore,2010.0
Jumper,2008.0
Hellboy II: The Golden Army,2008.0
Zodiac,2007.0
The 6th Day,2000.0
Bruce Almighty,2003.0
The Expendables,2010.0
Mission: Impossible,1996.0
The Hunger Games,2012.0
The Hangover Part II,2011.0
Batman Returns,1992.0
Over the Hedge,2006.0
Lilo & Stitch,2002.0
Charlotte's Web,2006.0
Deep Impact,1998.0
RED 2,2013.0
The Longest Yard,2005.0
Alvin and the Chipmunks: Chipwrecked,2011.0
Grown Ups 2,2013.0
Get Smart,2008.0
Something's Gotta Give,2003.0
Shutter Island,2010.0
Four Christmases,2008.0
Robots,2005.0
Face/Off,1997.0
Bedtime Stories,2008.0
Road to Perdition,2002.0
Just Go with It,2011.0
Daredevil            ,
Con Air,1997.0
Eagle Eye,2008.0
Cold Mountain,2003.0
The Book of Eli,2010.0
Flubber,1997.0
The Haunting,1999.0
Space Jam,1996.0
The Pink Panther,2006.0
The Day the Earth Stood Still,2008.0
Conspiracy Theory,1997.0
Fury,2014.0
Six Days Seven Nights,1998.0
Yogi Bear,2010.0
Spirit: Stallion of the Cimarron,2002.0
Zookeeper,2011.0
Lost in Space,1998.0
The Manchurian Candidate,2004.0
Déjà Vu,1997.0
Hotel Transylvania 2,2015.0
Bewitched            ,
Fantasia 2000,1999.0
The Time Machine,2002.0
Mighty Joe Young,1998.0
Swordfish,2001.0
The Legend of Zorro,2005.0
What Dreams May Come,1998.0
Little Nicky,2000.0
The Brothers Grimm,2005.0
Mars Attacks!,1996.0
Evolution,2015.0
The Edge,1997.0
Surrogates,2009.0
Thirteen Days,2000.0
Daylight,1996.0
Walking with Dinosaurs 3D,2013.0
Battlefield Earth,2000.0
Looney Tunes: Back in Action,2003.0
Nine,2009.0
Timeline,2003.0
The Postman,1997.0
Babe: Pig in the City,1998.0
The Last Witch Hunter,2015.0
Red Planet,2000.0
Arthur and the Invisibles,2006.0
Oceans,2009.0
A Sound of Thunder,2005.0
Pompeii,2014.0
Top Cat Begins,2015.0
A Beautiful Mind,2001.0
The Lion King,1994.0
Journey 2: The Mysterious Island,2012.0
Cloudy with a Chance of Meatballs 2,2013.0
Red Dragon,2002.0
Hidalgo,2004.0
Jack and Jill,2011.0
2 Fast 2 Furious,2003.0
The Little Prince,2015.0
The Invasion,2007.0
The Adventures of Rocky & Bullwinkle,2000.0
The Secret Life of Pets,2016.0
The League of Extraordinary Gentlemen,2003.0
Despicable Me 2,2013.0
Independence Day,1996.0
The Lost World: Jurassic Park,1997.0
Madagascar,2005.0
Children of Men,2006.0
X-Men,2000.0
Wanted,2008.0
The Rock,1996.0
Ice Age: The Meltdown,2006.0
50 First Dates,2004.0
Hairspray,2007.0
Exorcist: The Beginning,2004.0
Inspector Gadget,1999.0
Now You See Me,2013.0
Grown Ups,2010.0
The Terminal,2004.0
Constantine            ,
Hotel for Dogs,2009.0
Vertical Limit,2000.0
Charlie Wilson's War,2007.0
Shark Tale,2004.0
Dreamgirls,2006.0
Life            ,
Be Cool,2005.0
Munich,2005.0
Tears of the Sun,2003.0
Killers,2010.0
The Man from U.N.C.L.E.,2015.0
Spanglish,2004.0
Monster House,2006.0
Bandits,2001.0
First Knight,1995.0
Anna and the King,1999.0
Immortals,2011.0
Hostage,2005.0
Titan A.E.,2000.0
Hollywood Homicide,2003.0
Soldier,1998.0
Carriers,2009.0
Monkeybone,2001.0
Flight of the Phoenix,2004.0
Unbreakable,2000.0
Minions,2015.0
Sucker Punch,2011.0
Snake Eyes,1998.0
Sphere,1998.0
The Angry Birds Movie,2016.0
Fool's Gold,2008.0
Funny People,2009.0
The Kingdom,2007.0
Talladega Nights: The Ballad of Ricky Bobby,2006.0
Dr. Dolittle 2,2001.0
Braveheart,1995.0
Jarhead,2005.0
The Simpsons Movie,2007.0
The Majestic,2001.0
Driven,2001.0
Two Brothers,2004.0
The Village,2004.0
Doctor Dolittle,1998.0
Signs,2002.0
Shrek 2,2004.0
Cars,2006.0
Runaway Bride,1999.0
xXx,2002.0
The SpongeBob Movie: Sponge Out of Water,2015.0
Ransom,1996.0
Inglourious Basterds,2009.0
Hook,1991.0
Hercules,2014.0
Die Hard 2,1990.0
S.W.A.T.,2003.0
Sleepy Hollow            ,
Vanilla Sky,2001.0
Lady in the Water,2006.0
AVP: Alien vs. Predator,2004.0
Alvin and the Chipmunks: The Squeakquel,2009.0
We Were Soldiers,2002.0
Olympus Has Fallen,2013.0
Star Trek: Insurrection,1998.0
Battle Los Angeles,2011.0
Big Fish,2003.0
Wolf,1994.0
War Horse,2011.0
The Monuments Men,2014.0
The Abyss,1989.0
Wall Street: Money Never Sleeps,2010.0
Dracula Untold,2014.0
The Siege,1998.0
Stardust,2007.0
Seven Years in Tibet,1997.0
The Dilemma,2011.0
Bad Company,2002.0
Doom,2005.0
I Spy,2002.0
Underworld: Awakening,2012.0
Rock of Ages,2012.0
Hart's War,2002.0
Killer Elite,2011.0
Rollerball,2002.0
Ballistic: Ecks vs. Sever,2002.0
Hard Rain,1998.0
Osmosis Jones,2001.0
Legends of Oz: Dorothy's Return,2013.0
Blackhat,2015.0
Sky Captain and the World of Tomorrow,2004.0
Basic Instinct 2,2006.0
Escape Plan,2013.0
The Legend of Hercules,2014.0
The Sum of All Fears,2002.0
The Twilight Saga: Eclipse,2010.0
The Score,2001.0
Despicable Me,2010.0
Money Train,1995.0
Ted 2,2015.0
Agora,2009.0
Mystery Men,1999.0
Hall Pass,2011.0
The Insider,1999.0
The Finest Hours,2016.0
Body of Lies,2008.0
Dinner for Schmucks,2010.0
Abraham Lincoln: Vampire Hunter,2012.0
Entrapment,1999.0
Last Man Standing            ,
The X Files,1998.0
The Last Legion,2007.0
Saving Private Ryan,1998.0
Need for Speed,2014.0
What Women Want,2000.0
Ice Age,2002.0
Dreamcatcher,2003.0
Lincoln,2012.0
The Matrix,1999.0
Apollo 13,1995.0
Total Recall,1990.0
The Santa Clause 2,2002.0
Les Misérables,2012.0
You've Got Mail,1998.0
Step Brothers,2008.0
The Mask of Zorro,1998.0
Due Date,2010.0
Unbroken,2014.0
Space Cowboys,2000.0
Cliffhanger,1993.0
Broken Arrow,1996.0
The Kid,2000.0
World Trade Center,2006.0
Mona Lisa Smile,2003.0
The Dictator,2012.0
Eyes Wide Shut,1999.0
Annie,2014.0
Focus,2015.0
This Means War,2012.0
Blade: Trinity,2004.0
Red Dawn,1984.0
Primary Colors,1998.0
Resident Evil: Retribution,2012.0
Death Race,2008.0
The Long Kiss Goodnight,1996.0
Proof of Life,2000.0
Zathura: A Space Adventure,2005.0
Fight Club,1999.0
We Are Marshall,2006.0
The Missing            ,
Hudson Hawk,1991.0
Lucky Numbers,2000.0
"I, Frankenstein",2014.0
Oliver Twist,2005.0
Elektra,2005.0
Sin City: A Dame to Kill For,2014.0
Random Hearts,1999.0
Everest,2015.0
Perfume: The Story of a Murderer,2006.0
Austin Powers in Goldmember,2002.0
Astro Boy,2009.0
Jurassic Park,1993.0
Wyatt Earp,1994.0
Clear and Present Danger,1994.0
Dragon Blade,2015.0
Littleman,2006.0
U-571,2000.0
The American President,1995.0
The Love Guru,2008.0
3000 Miles to Graceland,2001.0
The Hateful Eight,2015.0
Blades of Glory,2007.0
Hop,2011.0
300,2006.0
Meet the Fockers,2004.0
Marley & Me,2008.0
The Green Mile,1999.0
Wild Hogs,2007.0
Chicken Little,2005.0
Gone Girl,2014.0
The Bourne Identity,2002.0
GoldenEye,1995.0
The General's Daughter,1999.0
The Truman Show,1998.0
The Prince of Egypt,1998.0
Daddy Day Care,2003.0
2 Guns,2013.0
Cats & Dogs,2001.0
The Italian Job,2003.0
Two Weeks Notice,2002.0
Antz,1998.0
Couples Retreat,2009.0
Days of Thunder,1990.0
Cheaper by the Dozen 2,2005.0
The Scorch Trials,2015.0
Eat Pray Love,2010.0
The Family Man,2000.0
RED,2010.0
Any Given Sunday,1999.0
The Horse Whisperer,1998.0
Collateral,2004.0
The Scorpion King,2002.0
Ladder 49,2004.0
Jack Reacher,2012.0
Deep Blue Sea,1999.0
This Is It,2009.0
Contagion,2011.0
Kangaroo Jack,2003.0
Coraline,2009.0
The Happening,2008.0
Man on Fire,2004.0
The Shaggy Dog,2006.0
Starsky & Hutch,2004.0
Jingle All the Way,1996.0
Hellboy,2004.0
A Civil Action,1998.0
ParaNorman,2012.0
The Jackal,1997.0
Paycheck,2003.0
Up Close & Personal,1996.0
The Tale of Despereaux,2008.0
Rules of Engagement            ,
The Tuxedo,2002.0
Under Siege 2: Dark Territory,1995.0
Jack Ryan: Shadow Recruit,2014.0
Joy,2015.0
London Has Fallen,2016.0
Alien: Resurrection,1997.0
Shooter,2007.0
The Boxtrolls,2014.0
Practical Magic,1998.0
The Lego Movie,2014.0
Miss Congeniality 2: Armed and Fabulous,2005.0
Reign of Fire,2002.0
Gangster Squad,2013.0
Year One,2009.0
Invictus,2009.0
State of Play,2009.0
Duplicity,2009.0
My Favorite Martian,1999.0
The Sentinel,2006.0
Planet 51,2009.0
Star Trek: Nemesis,2002.0
Intolerable Cruelty,2003.0
Trouble with the Curve,2012.0
Edge of Darkness,2010.0
The Relic,1997.0
Analyze That,2002.0
Righteous Kill,2008.0
Mercury Rising,1998.0
The Soloist,2009.0
The Legend of Bagger Vance,2000.0
Almost Famous,2000.0
Garfield 2,2006.0
xXx: State of the Union,2005.0
Priest,2011.0
Sinbad: Legend of the Seven Seas,2003.0
Event Horizon,1997.0
The Avengers,2012.0
Dragonfly,2002.0
The Black Dahlia,2006.0
Flyboys,2006.0
The Last Castle,2001.0
Supernova,2000.0
Winter's Tale,2014.0
The Mortal Instruments: City of Bones,2013.0
Meet Dave,2008.0
Dark Water,2005.0
Edtv,1999.0
Inkheart,2008.0
The Spirit,2008.0
Mortdecai,2015.0
In the Name of the King: A Dungeon Siege Tale,2007.0
Beyond Borders,2003.0
Xi you ji zhi: Sun Wukong san da Baigu Jing,2016.0
The Great Raid,2005.0
Deadpool,2016.0
Holy Man,1998.0
American Sniper,2014.0
Goosebumps,2015.0
"Sabrina, the Teenage Witch            ",
Just Like Heaven,2005.0
The Flintstones in Viva Rock Vegas,2000.0
Rambo III,1988.0
Leatherheads,2008.0
The Ridiculous 6,2015.0
Did You Hear About the Morgans?,2009.0
The Internship,2013.0
Resident Evil: Afterlife,2010.0
Red Tails,2012.0
Sex and the City            ,
The Devil's Advocate,1997.0
That's My Boy,2012.0
DragonHeart,1996.0
After the Sunset,2004.0
Ghost Rider: Spirit of Vengeance,2011.0
Captain Corelli's Mandolin,2001.0
Anger Management            ,
The Pacifier,2005.0
Walking Tall,2004.0
Forrest Gump,1994.0
Alvin and the Chipmunks,2007.0
Meet the Parents,2000.0
Pocahontas,1995.0
Superman,1978.0
The Nutty Professor,1996.0
Hitch,2005.0
George of the Jungle,1997.0
American Wedding,2003.0
Captain Phillips,2013.0
Date Night,2010.0
Casper,1995.0
The Equalizer,2014.0
Maid in Manhattan,2002.0
Crimson Tide,1995.0
The Pursuit of Happyness,2006.0
Flightplan,2005.0
Disclosure,1994.0
City of Angels,1998.0
Kill Bill: Vol. 1,2003.0
Bowfinger,1999.0
Stargate SG-1            ,
Kill Bill: Vol. 2,2004.0
Tango & Cash,1989.0
Death Becomes Her,1992.0
Shanghai Noon,2000.0
Executive Decision,1996.0
Mr. Popper's Penguins,2011.0
The Forbidden Kingdom,2008.0
Free Birds,2013.0
Alien 3,1992.0
Evita,1996.0
Ronin,1998.0
The Ghost and the Darkness,1996.0
Paddington,2014.0
The Watch,2012.0
The Hunted,2003.0
Instinct,1999.0
Stuck on You,2003.0
Semi-Pro,2008.0
The Pirates! Band of Misfits,2012.0
Changeling,2008.0
Chain Reaction,1996.0
The Fan,1996.0
The Phantom of the Opera,2004.0
Elizabeth: The Golden Age,2007.0
Æon Flux,2005.0
Gods and Generals,2003.0
Turbulence,1997.0
Imagine That,2009.0
Muppets Most Wanted,2014.0
Thunderbirds,2004.0
Burlesque,2010.0
A Very Long Engagement,2004.0
Lolita,1962.0
Eye See You,2002.0
Blade II,2002.0
Seven Pounds,2008.0
Bullet to the Head,2012.0
The Godfather: Part III,1990.0
Elizabethtown,2005.0
"You, Me and Dupree",2006.0
Superman II,1980.0
Gigli,2003.0
All the King's Men,2006.0
Shaft,2000.0
Anastasia,1997.0
Moulin Rouge!,2001.0
Domestic Disturbance,2001.0
Black Mass,2015.0
Flags of Our Fathers,2006.0
Law Abiding Citizen,2009.0
Grindhouse,2007.0
Beloved,1998.0
Lucky You,2007.0
Catch Me If You Can,2002.0
Zero Dark Thirty,2012.0
The Break-Up,2006.0
Mamma Mia!,2008.0
Valentine's Day,2010.0
The Dukes of Hazzard,2005.0
The Thin Red Line,1998.0
The Change-Up,2011.0
Man on the Moon,1999.0
Casino,1995.0
From Paris with Love,2010.0
Bulletproof Monk,2003.0
"Me, Myself & Irene",2000.0
Barnyard,2006.0
Deck the Halls,2006.0
The Twilight Saga: New Moon,2009.0
Shrek,2001.0
The Adjustment Bureau,2011.0
Robin Hood: Prince of Thieves,1991.0
Jerry Maguire,1996.0
Ted,2012.0
As Good as It Gets,1997.0
Patch Adams,1998.0
Anchorman 2: The Legend Continues,2013.0
Mr. Deeds,2002.0
Super 8,2011.0
Erin Brockovich,2000.0
How to Lose a Guy in 10 Days,2003.0
22 Jump Street,2014.0
Interview with the Vampire: The Vampire Chronicles,1994.0
Yes Man,2008.0
Central Intelligence,2016.0
Stepmom,1998.0
Daddy's Home,2015.0
Into the Woods,2014.0
Inside Man,2006.0
Payback,1999.0
Congo,1995.0
We Bought a Zoo,2011.0
Knowing,2009.0
Failure to Launch,2006.0
The Ring Two,2005.0
"Crazy, Stupid, Love.",2011.0
Garfield,2004.0
Christmas with the Kranks,2004.0
Moneyball,2011.0
Outbreak,1995.0
Non-Stop,2014.0
Race to Witch Mountain,2009.0
V for Vendetta,2005.0
Shanghai Knights,2003.0
Unforgotten            ,
Curious George,2006.0
Herbie Fully Loaded,2005.0
Don't Say a Word,2001.0
Hansel & Gretel: Witch Hunters,2013.0
Unfaithful,2002.0
I Am Number Four,2011.0
Syriana,2005.0
13 Hours,2016.0
The Book of Life,2014.0
Firewall,2006.0
Absolute Power,1997.0
G.I. Jane,1997.0
The Game,1997.0
Silent Hill,2006.0
The Replacements,2000.0
American Reunion,2012.0
The Negotiator,1998.0
Into the Storm,2014.0
Beverly Hills Cop III,1994.0
Gremlins 2: The New Batch,1990.0
The Judge,2014.0
The Peacemaker,1997.0
Resident Evil: Apocalypse,2004.0
Bridget Jones: The Edge of Reason,2004.0
Out of Time,2003.0
On Deadly Ground,1994.0
The Adventures of Sharkboy and Lavagirl 3-D,2005.0
The Beach,2000.0
Raising Helen,2004.0
Ninja Assassin,2009.0
For Love of the Game,1999.0
A Touch of Frost            ,
Striptease,1996.0
Marmaduke,2010.0
Hereafter,2010.0
Murder by Numbers,2002.0
Assassins,1995.0
Hannibal Rising,2007.0
The Story of Us,1999.0
The Host,2013.0
Basic,2003.0
Blood Work,2002.0
The International,2009.0
